CMPD_CHEMBLID,exp,smiles,,,,,,
CHEMBL85377,2.27,CN(C)CCCNc1ccc2C(=O)N(CCN(C)C)C(=O)N3c4ccccc4C(=O)c1c23,,,,,,
CHEMBL125765,3.25,CC(=O)Oc1cccc2Cc3cccc(O)c3C(=O)c12,,,,,,
CHEMBL368703,2.72,CO[C@H]1C[C@]2(C)[C@@H](O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@@H]13,,,,,,
CHEMBL553744,0.67,Cl.Cl.Cl.CN(C)CCNc1ccc2C(=O)N(CCN(C)C)C(=O)N3c4ccc(N)cc4C(=O)c1c23,,,,,,
CHEMBL38719,3.9,CCO\\C(=C/1\\C(C(=C(C)N=C1C)C(=O)OC)c2cccc(c2)C(F)(F)F)\\O,,,,,,
CHEMBL124951,2.17,Oc1cccc2C(=O)c3cccc(O)c3Cc12,,,,,,
CHEMBL126056,3.16,Oc1cccc2Cc3ccc(C#N)c(O)c3C(=O)c12,,,,,,
CHEMBL123886,2.91,OC1c2cccc(O)c2C(=O)c3c(O)cccc13,,,,,,
CHEMBL121693,3.81,Oc1ccc2C(=O)c3ccccc3Cc2c1O,,,,,,
CHEMBL123271,4.54,COC(=O)c1cc(O)c2C(=O)c3c(O)cccc3Cc2c1,,,,,,
CHEMBL122192,3.9,Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3Cc2c1,,,,,,
CHEMBL418426,3.6,CCO\\C(=C/1\\C(C(=C(C)N=C1C)C(=O)OC)c2ccc(cc2)[N+](=O)[O-])\\O,,,,,,
CHEMBL122447,5.73,O=C1c2cccc(OCc3ccccc3)c2Cc4c(OCc5ccccc5)cccc14,,,,,,
CHEMBL412821,4.25,Oc1cccc2C(OCc3ccccc3)c4cccc(O)c4C(=O)c12,,,,,,
CHEMBL2051937,2.73,ClCCN(N=O)C(=O)N[C@@H]1CCCC[C@@H]1Cl,,,,,,
CHEMBL2051944,3.3,C[C@@H]1CC[C@@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL2051938,2.09,CO[C@@H]1CC[C@H](CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL514,2.83,ClCCN(N=O)C(=O)NC1CCCCC1,,,,,,
CHEMBL2094020,-0.66,OC[C@H]1OC(O)[C@H](NC(=O)N(CCCl)N=O)[C@@H](O)[C@@H]1O,,,,,,
CHEMBL277474,0.56,CN1N(C(=O)C=C1C)c2ccccc2,,,,,,
CHEMBL12519,1.54,FCCN(N=O)C(=O)NC1CSCSC1,,,,,,
CHEMBL12922,1.82,OC(=O)C1(CCCC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL418533,0.8,COCC1OC(O)C(NC(=O)N(CCCl)N=O)C(OC)C1OC,,,,,,
CHEMBL2051750,3.37,C[C@H]1CCC[C@H](C1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL12919,2.2,CCOC(=O)C1CCC(CC1)NC(=O)N(CCCl)N=O,,,,,,
CHEMBL2051745,1.34,O[C@@H]1CCCC[C@H]1NC(=O)N(CCCl)N=O,,,,,,
CHEMBL13072,2.25,FCCN(N=O)C(=O)NC1CCCCC1,,,,,,
CHEMBL268495,2.98,ClCCN(N=O)C(=O)NC1CC2CCC1C2,,,,,,
CHEMBL297432,0.056,COC(=O)\\C=C\\C(=O)c1cccnc1,,,,,,
CHEMBL12805,2.88,CCOC(=O)C1(CCCC1)NC(=O)N(CCCl)N=O,,,,,,
