CMPD_CHEMBLID,exp,smiles
CHEMBL544826,3,Cl.CCC(C)NCc1cccc(c1)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL306994,1.66,OC(=O)Cc1ccccc1Nc2cccc(Cl)c2Cl
CHEMBL544129,11.5,Cl.NS(=O)(=O)c1cc(cs1)S(=O)(=O)c2ccc(CNCc3ccccn3)cc2
CHEMBL554012,0.91,Cl.CC(C)NCc1cccc(c1)S(=O)(=O)c2csc(c2)S(=O)(=O)N
CHEMBL46151,1.43,CCN(CC)CCS\\C(=N/O)\\C(=O)c1ccc(OC)cc1
CHEMBL295017,3.38,CCCS\\C(=N/O)\\C(=O)c1ccc(Br)cc1
CHEMBL297316,-1.55,[Cl-].C[N+](C)(C)CCS\\C(=N/O)\\C(=O)c1ccc(F)cc1
CHEMBL544030,2.11,Cl.COCCNCc1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL554425,37.8,Cl.COCCN(CCOC)Cc1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL543792,17.4,Cl.CC(C)CNCc1cc2sc(cc2s1)S(=O)(=O)N
CHEMBL14598,0.49,COc1ccc(cc1)C(=O)\\C(=N\\O)\\SCCCN(C)C.OC(=O)C(=O)O
CHEMBL296429,-1.44,[Cl-].Cc1ccc(cc1)C(=O)\\C(=N\\O)\\SCC[N+](C)(C)C
CHEMBL544022,1.97,Cl.CCN(CC)CCS\\C(=N/O)\\C(=O)c1ccc(Cl)cc1
CHEMBL54265,-0.34,CN(C)CCc1c[nH]c2ccc(cc12)n3cncn3
CHEMBL53764,-0.13,CN(C)CCc1c[nH]c2ccc(cc12)n3ccnc3C
CHEMBL540026,14.8,Cl.NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2s1
CHEMBL553832,5.1,Cl.COCCOCCNC(C)c1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL45118,-1.6,[Cl-].CC[N+](C)(CC)CCS\\C(=N/O)\\C(=O)c1ccc(OC)cc1
CHEMBL39317,0.25,CS(=O)(=O)Nc1ccc(Cc2noc(n2)c3ccc4[nH]cc(CCN)c4c3)cc1
CHEMBL299213,0.02,CCn1nnc(Cc2ccc3[nH]cc(CCN(C)C)c3c2)n1
CHEMBL56098,2.7,COc1ccc(cc1)C2=C(N(C)C(=O)C(=C2)c3nc(C)cs3)c4ccnnc4
CHEMBL47284,1.15,CN(C)CCS\\C(=N/O)\\C(=O)c1ccc(F)cc1
CHEMBL53128,-0.94,CN(C)CCc1c[nH]c2ccc(Cc3nnnn3C)cc12
CHEMBL53467,-0.34,CN(C)CCc1c[nH]c2ccc(Cn3ncnn3)cc12
CHEMBL51108,-1.01,CN(C)CCc1c[nH]c2ccc(Cc3ncn(C)n3)cc12
CHEMBL284565,2.69,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCCN3CCN(C)CC3
CHEMBL284565,1.41,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCCCOC(=O)CCCN3CCN(C)CC3
CHEMBL555385,0.29,Cl.CNCc1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL542609,1.52,Cl.CN(C)CCS\\C(=N/O)\\C(=O)c1ccc(C)cc1
CHEMBL128,-1.17,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
CHEMBL52912,-0.53,CN(C)CCc1c[nH]c2ccc(Cn3ccnc3)cc12
CHEMBL54103,-1.44,CN(C)CCc1c[nH]c2ccc(Cc3nncn3C)cc12
CHEMBL554042,1.7,Cl.NS(=O)(=O)c1cc2cc(CN(CCO)CCO)sc2s1
CHEMBL552892,0.32,Cl.CNCc1cc2sc(cc2s1)S(=O)(=O)N
CHEMBL552890,0.19,Cl.NS(=O)(=O)c1cc2cc(CNCCO)sc2s1
CHEMBL47375,-1.96,[Cl-].COc1ccc(cc1)C(=O)\\C(=N\\O)\\SCC[N+](C)(C)C
CHEMBL542360,1.74,Cl.CN(C)CCS\\C(=N/O)\\C(=O)c1ccc(Cl)cc1
CHEMBL52264,-0.75,CN(C)CCc1c[nH]c2ccc(Cc3ncnn3C)cc12
CHEMBL36370,2.14,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCOCC3
CHEMBL36370,2.62,COc1ccc2cc(ccc2c1)C(C)C(=O)OCCOC(=O)CN3CCOCC3
CHEMBL543798,0.73,Cl.COCCOCCCNCc1cc2cc(sc2s1)S(=O)(=O)N
CHEMBL556132,3.23,Cl.COCCNCc1cc2sc(cc2s1)S(=O)(=O)N
CHEMBL51975,0.45,NS(=O)(=O)c1cc2cc(sc2s1)C(=O)NCC(O)CO
CHEMBL416464,1.07,COc1ccc(cc1)C(=O)\\C(=N\\O)\\SCCN(C)C
