CMPD_CHEMBLID,exp,smiles
CHEMBL165864,-1.698970004,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL161895,1.477121255,Cc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1
CHEMBL433520,1.556302501,CCN(CC)CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL218490,7.77815125,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(cc12)S(=O)(=O)N
CHEMBL355816,0.698970004,OC(=O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL163188,-1.698970004,CN(C)c1cc2c(Nc3cccc(C)c3)ncnc2cn1
CHEMBL163168,1.579783597,OC(=O)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL162508,1.544068044,Cc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1
CHEMBL166358,1.477121255,CN(C)CCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL161560,7.73239376,NS(=O)(=O)c1nnc(NCC2=CC(=O)Oc3cc(Cl)ccc23)s1
CHEMBL162981,1.361727836,Brc1cccc(Nc2ncnc3cnc(NCCCn4ccnc4)cc23)c1
CHEMBL115220,4.342422681,O=C(Cc1ccc2ccccc2c1)Nc3cc(n[nH]3)C4CC4
CHEMBL162034,1.681241237,CN(C)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CHEMBL162622,1,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1
CHEMBL336554,8.845718018,Br.C[C@H](N)C(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL129895,8.012837225,CC(C)COC(=O)Nc1nnc(s1)S(=O)(=O)N
CHEMBL131496,8.95230801,Br.NCC(=O)Nc1nnc(s1)S(=O)(=O)N
